key:  337, color:red  , size: 1
key: 1246, color:black, size: 3
key: 1468, color:red  , size: 1
key: 1593, color:black, size: 9
key: 1958, color:black, size: 1
key: 2505, color:red  , size: 5
key: 2751, color:red  , size: 1
key: 2853, color:black, size: 3
key: 3194, color:red  , size: 1
key: 3547, color:red  , size:17
key: 3682, color:red  , size: 1
key: 4013, color:black, size: 3
key: 4099, color:red  , size: 1
key: 4150, color:black, size: 7
key: 4698, color:red  , size: 1
key: 4821, color:black, size: 3
key: 5033, color:red  , size: 1
key: 5045, color:black, size:30
key: 5081, color:red  , size: 1
key: 5111, color:black, size: 2
key: 5524, color:black, size: 5
key: 5811, color:black, size: 2
key: 6092, color:red  , size: 1
key: 6150, color:red  , size:12
key: 7156, color:black, size: 2
key: 7220, color:red  , size: 1
key: 7311, color:red  , size: 4
key: 8408, color:black, size: 1
key: 8539, color:black, size: 6
key: 8692, color:black, size: 1
key: 9243, color:red  , size:48
key: 9840, color:black, size: 2
key:10162, color:red  , size: 1
key:10463, color:black, size: 6
key:11137, color:red  , size: 1
key:11229, color:black, size: 3
key:11396, color:red  , size: 1
key:11530, color:black, size:17
key:11934, color:black, size: 1
key:12252, color:red  , size: 5
key:12649, color:red  , size: 1
key:12779, color:black, size: 3
key:12932, color:red  , size: 1
key:13833, color:black, size:10
key:14762, color:black, size: 1
key:15243, color:red  , size: 4
key:15351, color:black, size: 2
key:16366, color:red  , size: 1
key:16603, color:black, size:100
key:17130, color:red  , size: 1
key:17138, color:black, size: 2
key:17291, color:black, size: 9
key:18014, color:black, size: 2
key:18172, color:red  , size: 1
key:18675, color:red  , size: 6
key:19053, color:red  , size: 1
key:19391, color:black, size: 3
key:19430, color:red  , size: 1
key:19892, color:black, size:19
key:20003, color:red  , size: 1
key:20066, color:black, size: 3
key:20091, color:red  , size: 1
key:20312, color:black, size: 9
key:20662, color:red  , size: 1
key:20943, color:black, size: 2
key:21476, color:red  , size: 5
key:21689, color:black, size: 2
key:21751, color:red  , size: 1
key:22059, color:red  , size:51
key:22687, color:red  , size: 1
key:23304, color:black, size: 3
key:23424, color:red  , size: 1
key:23604, color:red  , size: 7
key:23780, color:red  , size: 1
key:24311, color:black, size: 3
key:24555, color:red  , size: 1
key:24658, color:black, size:13
key:24934, color:black, size: 1
key:25488, color:red  , size: 5
key:25724, color:red  , size: 1
key:25980, color:black, size: 3
key:26003, color:red  , size: 1
key:26011, color:black, size:31
key:26071, color:red  , size: 1
key:26376, color:black, size: 2
key:26808, color:red  , size: 4
key:26827, color:black, size: 1
key:26829, color:black, size:10
key:26870, color:black, size: 2
key:27359, color:red  , size: 1
key:27845, color:red  , size: 5
key:28530, color:black, size: 2
key:29724, color:red  , size: 1
key:29878, color:red  , size:17
key:30352, color:red  , size: 1
key:31024, color:black, size: 2
key:31458, color:black, size: 6
key:31880, color:red  , size: 1
key:32131, color:black, size: 3
key:32740, color:red  , size: 1
